Date,Variable,Device,Latitude,Longitude,Value
2022-04-27 08:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,28.34
2022-04-27 07:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,30.22
2022-04-27 06:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,30.49
2022-04-27 05:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,27.62
2022-04-27 04:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,23.74
2022-04-27 03:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,20.84
2022-04-27 02:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,18.95
2022-04-27 01:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,17.82
2022-04-27 00:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,18.81
2022-04-26 23:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,20.05
2022-04-26 22:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,21.39
2022-04-26 21:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,23.32
2022-04-26 20:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,25.59
2022-04-26 19:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,28.22
2022-04-26 18:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,29.07
2022-04-26 17:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,26.32
2022-04-26 16:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,21.87
2022-04-26 15:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,19.0
2022-04-26 14:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,17.08
2022-04-26 13:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,16.37
2022-04-26 12:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,17.07
2022-04-26 11:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,18.65
2022-04-26 10:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,19.75
2022-04-26 09:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,20.77
2022-04-26 08:00:00,salinity,Rocky Point,-35.69531512915687,150.14998689307845,22.68
2022-04-27 08:00:00,salinity,Waterfall Creek,-35.70753,150.13557,25.78
2022-04-27 07:00:00,salinity,Waterfall Creek,-35.70753,150.13557,26.42
2022-04-27 06:00:00,salinity,Waterfall Creek,-35.70753,150.13557,25.66
2022-04-27 05:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.78
2022-04-27 04:00:00,salinity,Waterfall Creek,-35.70753,150.13557,21.65
2022-04-27 03:00:00,salinity,Waterfall Creek,-35.70753,150.13557,19.66
2022-04-27 02:00:00,salinity,Waterfall Creek,-35.70753,150.13557,19.12
2022-04-27 01:00:00,salinity,Waterfall Creek,-35.70753,150.13557,20.3
2022-04-27 00:00:00,salinity,Waterfall Creek,-35.70753,150.13557,21.5
2022-04-26 23:00:00,salinity,Waterfall Creek,-35.70753,150.13557,22.21
2022-04-26 22:00:00,salinity,Waterfall Creek,-35.70753,150.13557,22.71
2022-04-26 21:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.2
2022-04-26 20:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.81
2022-04-26 19:00:00,salinity,Waterfall Creek,-35.70753,150.13557,24.43
2022-04-26 18:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.7
2022-04-26 17:00:00,salinity,Waterfall Creek,-35.70753,150.13557,22.0
2022-04-26 16:00:00,salinity,Waterfall Creek,-35.70753,150.13557,20.16
2022-04-26 15:00:00,salinity,Waterfall Creek,-35.70753,150.13557,18.41
2022-04-26 14:00:00,salinity,Waterfall Creek,-35.70753,150.13557,17.5
2022-04-26 13:00:00,salinity,Waterfall Creek,-35.70753,150.13557,18.2
2022-04-26 12:00:00,salinity,Waterfall Creek,-35.70753,150.13557,19.66
2022-04-26 11:00:00,salinity,Waterfall Creek,-35.70753,150.13557,20.98
2022-04-26 10:00:00,salinity,Waterfall Creek,-35.70753,150.13557,22.05
2022-04-26 09:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.06
2022-04-26 08:00:00,salinity,Waterfall Creek,-35.70753,150.13557,23.63
2022-04-27 08:00:00,salinity,Chinamans Point,-35.703899,150.1409484,24.07
2022-04-27 07:00:00,salinity,Chinamans Point,-35.703899,150.1409484,23.59
2022-04-27 06:00:00,salinity,Chinamans Point,-35.703899,150.1409484,22.11
2022-04-27 05:00:00,salinity,Chinamans Point,-35.703899,150.1409484,20.59
2022-04-27 04:00:00,salinity,Chinamans Point,-35.703899,150.1409484,19.17
2022-04-27 03:00:00,salinity,Chinamans Point,-35.703899,150.1409484,16.62
2022-04-27 02:00:00,salinity,Chinamans Point,-35.703899,150.1409484,15.51
2022-04-27 01:00:00,salinity,Chinamans Point,-35.703899,150.1409484,15.8
2022-04-27 00:00:00,salinity,Chinamans Point,-35.703899,150.1409484,16.23
2022-04-26 23:00:00,salinity,Chinamans Point,-35.703899,150.1409484,16.86
2022-04-26 22:00:00,salinity,Chinamans Point,-35.703899,150.1409484,18.24
2022-04-26 21:00:00,salinity,Chinamans Point,-35.703899,150.1409484,20.19
2022-04-26 20:00:00,salinity,Chinamans Point,-35.703899,150.1409484,22.3
2022-04-26 19:00:00,salinity,Chinamans Point,-35.703899,150.1409484,22.21
2022-04-26 18:00:00,salinity,Chinamans Point,-35.703899,150.1409484,20.74
